Rheinland-Pfalz,287
Baden-Württemberg,1125
Sachsen,456
Berlin,295
Sachsen-Anhalt,98
Nordrhein-Westfalen,1676
Bayern,1570
Thüringen,167
Saarland,101
Niedersachsen,490
Bremen,57
Mecklenburg-Vorpommern,41
Hamburg,188
Hessen,608
Schleswig-Holstein,109
Brandenburg,162
