Hamburg,1064
Bayern,8463
Schleswig-Holstein,905
Baden-Württemberg,5865
Nordrhein-Westfalen,10040
Sachsen-Anhalt,2004
Brandenburg,1863
Bremen,344
Saarland,617
Hessen,3813
Niedersachsen,3529
Sachsen,5272
Mecklenburg-Vorpommern,830
Rheinland-Pfalz,1976
Thüringen,2705
Berlin,1753
